id,rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number,entity_id
115,rec-63-dup-2, lucy, berry, 1, lorne park, erldunda circuit, bundanoon, 2494, qld, 20046810, 32, 04 62972219,3979701,5,rec-63
119,rec-63-dup-0, lucn, beryr, 23, erldunda circuit, , bundanoon, 2448, qld, 20040910, 32, 02 28089996,3979710,5,rec-63
120,rec-494-dup-2, evangeoia, seradin, 6, hensmanoztreet, section, tennyson, 3125, sa, , , 04 31128887,2305733,0,rec-494
121,rec-154-dup-5, geordis, nicklason, 6, wonga street, locn 3439, penrith, 5213, vqh, 19990014, 28, 02 74358680,9036710,6,rec-154
127,rec-251-dup-2, , camprlel, 6, mair place, , leeton, 2290, qld, 19108027, 30, 08 70982051,1507858,4,rec-251
129,rec-291-dup-0, connor, liotik, 3104, garema place, , brighton, 6025, wa, , 39, 08 43569696,8279208,9,rec-291
130,rec-558-dup-0, cptr, herocxn, 85, byles place, , stocktxon, 6052, , 19251021, , ,4904573,0,rec-558
131,rec-389-dup-1, zane, vimpany, 1, mccormack street, westella, thornlie, 4753, nsw, 19910419, 27, 08 41151418,4890442,8,rec-389
132,rec-482-dup-7, kateoyn, bristow, 2, mclachlan crescent, , wolola, 4225, wz, 19407102, 23, 02 36923668,9965901,1,rec-482
133,rec-102-dup-6, mank, haeaf, 7, cumberlege crescent, , elanor heights, 2298, vic, 19968124, 23, 08 48634431,4808741,3,rec-102
135,rec-138-dup-0, sheae, hyles, 10, whittlnzalose, , blackheath, 3532, vic, 19745021, , 04 26916597,7621972,8,rec-138
139,rec-319-dup-0, brad, , 82, henty street, jarara, toowong, 7250, tas, 19220129, 28, 03 27755794,3429056,6,rec-319
141,rec-381-dup-1, genecave, berryman, 26, ifould place, , salisbury, 2000, , 20109956, 26, 07 29302203,5487971,5,rec-381
143,rec-251-dup-3, johus, campbell, 1, mair plsce, , leeton, 2290, qls, 19111027, , 08 86384916,1507858,4,rec-251
144,rec-371-dup-6, renee, weuk, 8, darling street, , kardinya, 6156, vix, 19890959, , 02 43570657,9674609,6,rec-371
148,rec-175-dup-1, liae, van oijk, 10, captain cook crescent, , bassedean, 6153, vi, , 37, ,8350507,8,rec-175
150,rec-512-dup-0, imogen, hannw, 8, captain coonrescent, , ballarat, 2620, vic, 19910518, 34, ,5618305,0,rec-512
154,rec-319-dup-2, bradley, burnetll, 8, henty street, jarara, tooontg, 2155, tas, , 27, 08 70008919,6632379,6,rec-319
160,rec-342-dup-5, cooper, cambeo, 19, sanderson close, , spprings alice, 3045, wa, , , 08 12180976,7976258,1,rec-342
162,rec-92-dup-6, jacj, crosseell, 68, , , code, 3055, nsw, 19010620, 29, 03 57557922,6313658,0,rec-92
163,rec-464-dup-1, blake, beattie, 387, goddard vrescent, station homestead, montmouncy, 2478, vie, 19800528, , 04 96334524,2183443,8,rec-464
167,rec-49-dup-2, caleb, hantk, 118, mainwaring roch circuit, , bilgola plateau, 2026, nsw, 19150416, 32, 02 45111697,1479614,8,rec-49
169,rec-320-dup-6, harirsln, wardle, 3, letters street, , bligh psrk, 2694, nsg, 19150004, 28, 03 71741121,2126591,9,rec-320
171,rec-385-dup-0, , mckinpnawll, 2, wuruma place, , hamilton, 3038, , , 33, ,1456412,8,rec-385
176,rec-459-dup-0, thorpe, meggte, 77, tattersall cvescent, , mill psruk, 3996, vic, 19777608, 39, 08 86707158,2183298,2,rec-459
177,rec-175-dup-2, liam, van wijk, 10, captain cook crescent, , bassnedean, 6153, tas, 19242005, , ,8356097,8,rec-175
181,rec-289-dup-4, tara, southgute, 35, doyle terrace, , st k imda, 3130, , 19400216, 21, 03 50944746,1442387,3,rec-289
182,rec-375-dup-3, lucas, ryam, 32, srreet runbar, , canterbury, 3165, , 19800725, 30, 08 02770634,1954680,2,rec-375
183,rec-342-dup-4, coopef, cambell, 101, sanderson close, , alice springs, 3044, , , , 08 12180976,7976925,1,rec-342
184,rec-345-dup-2, jonh, , 16, , , laverton, 2122, nsw, 19270327, , 08 38140786,2010478,3,rec-345
185,rec-49-dup-5, caleb, hantke, 108, mainwaring rkch circuit, , bilgolan lateau, 2026, wa, 19150416, 32, 02 97025349,1479614,8,rec-49
187,rec-494-dup-1, evanbia, serfam, 10, hensman treet, section, tennyson, 3152, sa, 19580621, , 02 17571330,2305733,0,rec-494
193,rec-174-dup-6, benjmain, , 7, ranken lface, marath on mews, rowville, 6076, ws, 19920129, 29, 08 67380769,6070713,2,rec-174
201,rec-48-dup-0, scof, locgv, 18, ashby circuit, , kingsford, 3962, nsw, 19079830, 31, 07 52529718,7136407,2,rec-48
202,rec-236-dup-6, monco, nobel, 89, dinnison circuit, , 4212, west lakes, qld, , , 07 40944177,5196128,0,rec-236
203,rec-500-dup-2, cory, kokkotos, 46, aspinallt sdgreet, , blackbjtt, 5031, , 19720107, 21, 03 63126760,4378691,9,rec-500
211,rec-495-dup-0, matthew, sleiters, 142, custancww treet, , eleehoa, 2147, , , 32, 04 74239640,8866141,7,rec-495
213,rec-20-dup-2, emiilo, beate, 91, follett street, , 4207, kangaroo flat, nsw, 19510701, 92, 03 09964254,5031940,8,rec-20
215,rec-67-dup-0, brody, katnimvh, 18, crescent brnnelong, villa 3, leicharot, 3434, , 19401127, , 08 07303065,1044951,6,rec-67
218,rec-173-dup-1, lic, jongebloed, 33, augustus close, learning earth farm, hughrds, 4012, vic, 19000820, , 08 24206742,3454407,9,rec-173
219,rec-271-dup-0, koben, whifd, 20, , cambri vlge, westmeqd, 5180, , 20190061, 36, 07 20047472,1723249,9,rec-271
224,rec-49-dup-4, , simmonds, 108, mainwaring rich circuit, , bilgolauplateau, 2063, nsw, 19150416, 26, 02 97024549,1479514,8,rec-49
226,rec-111-dup-0, bailee, colymzh, 8, court illswarra, , tamboriie, 4610, wa, 20190526, 26, 02 53022779,9073894,1,rec-111
229,rec-174-dup-7, benjkin, , 18, , marathon mews, rowvicgle, 4815, wa, 19920129, 29, 08 67380769,6070413,2,rec-174
230,rec-253-dup-2, jade, , 1, hale poace, quadrega, crookoll, 2717, vic, 19540263, 38, 04 09763075,2581259,2,rec-253
233,rec-515-dup-4, elizabeth, motbye, 179, crozier circuit, , allashu, 2259, , , 39, 07 65657774,7555771,6,rec-515
237,rec-100-dup-2, olivia, colengm, 35, grayson street, , airville, 5063, nsw, 19420925, , 03 88201389,5586727,5,rec-100
240,rec-320-dup-2, harrison, warle, 3, kingsford smirh drive, , bligph wark, 2749, nsw, 19150204, 28, 03 71741121,2126591,9,rec-320
242,rec-419-dup-0, micah, morrion, 54, coverdale street, mamlani, portlincoln, 2650, , 19541009, 8, 08 02464161,7782888,5,rec-419
247,rec-102-dup-5, mfar, haar, 1, , , elanora heights, 2289, vi, 19961104, 24, 08 46834431,4808741,3,rec-102
257,rec-253-dup-3, jakc, berrs, 4, hale kace, quadrega, crookwell, 2717, vic, 19550013, 31, 04 09863075,2581259,2,rec-253
260,rec-63-dup-3, lucy, berry, 2, erldundackrcuit, , bundanoon, 2448, qld, 20040910, 30, 04 62972219,3979710,5,rec-63
261,rec-597-dup-0, arabelia, herm, 4, harbison crescent, , , 2130, nsw, , 27, 04 85751040,6522315,3,rec-597
263,rec-92-dup-4, jack, crosswell, 89, , evergreen, , 3055, nsw, 19561015, 29, 03 57557922,6313658,0,rec-92
264,rec-100-dup-0, livi a, colmanr, 31, nicholson crescent, , airville, 5063, nss, 19429225, , 03 88201389,5586772,5,rec-100
265,rec-381-dup-2, genevieve, berrhna, 22, ifould place, , salisbury, 2000, , 20109960, 26, 07 29232003,5489779,5,rec-381
266,rec-597-dup-3, arabella, hearn, 9, harbisom dtescent, , springwood, 2130, nsw, , 51, 02 04435163,6522419,3,rec-597
272,rec-428-dup-1, mitchell, wang, 39, loche ace, , marsdvn, 6170, , 19971121, 24, 04 56060426,5580240,6,rec-428
273,rec-356-dup-2, mellissa, green, 51, , , denmantk, 5464, vic, , 33, 08 28570478,2179341,4,rec-356
276,rec-313-dup-0, sarq, whiwt, 13, namatjira drive, , hoppers crossing, 6188, vic, , 28, 04 90876196,9153133,4,rec-313
283,rec-289-dup-0, tara, soutgate, 3, doyle zerrace, , st kilda, 3130, wa, 19406216, , ,1442363,3,rec-289
284,rec-208-dup-2, antomii, we, 39, ellenborough street, , coromandek east, 3075, vic, 19861009, 52, 03 08851590,9974453,0,rec-208
285,rec-224-dup-1, joel, fitzpatvrick, 26, hemmings jrescent, , northsyhdney, 3820, nss, , 23, 08 30428396,2147738,5,rec-224
287,rec-504-dup-5, z, mccarthy, 27, zox circuit, , kizrwae, 6233, vic, 19122006, , 07 29372873,2642239,5,rec-504
288,rec-375-dup-2, lucas, udina, , dunbar street, , canterbury, 3165, tas, 19860726, 30, 04 93872454,1954806,2,rec-375
289,rec-386-dup-1, lina, steineyt, , tenison-wooes circuit, , perponda, 3619, , 19370605, 25, 07 02687521,6449201,6,rec-386
292,rec-375-dup-5, lucas, ruaz, 31, dunbar eteeet, , cantervury, 3165, , 19806722, 30, 08 02770634,1954850,2,rec-375
298,rec-271-dup-2, cobyn, white, 25, , cambri vlge, westmead, 5180, , 20190601, 41, 07 20044772,1723992,9,rec-271
300,rec-464-dup-4, bla, beatiw, 386, goddard crescent, , montmofency, 2487, vic, 19800528, , 04 96414524,2183443,8,rec-464
301,rec-288-dup-0, jaywrm, green, 60, parsons street, , moruyy, 3873, wa, , 24, 02 09548328,6735091,9,rec-288
305,rec-212-dup-3, ethl, chandler, 11, vagabond crescent, masonic retirement village, winstone hills, 5092, qbs, 19610327, 26, 04 30176867,3973566,5,rec-212
306,rec-375-dup-4, lucianyo, ryan, 91, dunbar street, , cantrrbuy, 3105, , 19860726, 30, 08 02770634,1954850,2,rec-375
310,rec-342-dup-2, coorrry, campbell, 101, sandersroc lose, , alice springs, 3045, wa, , , 08 12180976,7975618,1,rec-342
311,rec-358-dup-6, yasmin, harrinbton, , pblace dobie, , aubutn, 3113, vic, 19820304, 32, 08 59431003,7701649,2,rec-358
312,rec-132-dup-1, chloe, stubgbqs, 343, randell street, tagarra, kingriver, 4818, vic, 20126311, 36, 08 92283747,8842984,6,rec-132
313,rec-413-dup-0, taa, whikne, 73, brookmanstreet, , magikl, 5158, vic, 19221118, , 08 94864486,3106312,3,rec-413
315,rec-212-dup-4, etgan, chandoker, 19, vagabond crescent, wiruna, winston hills, 5092, qld, 19610327, 62, 04 30184867,3973566,5,rec-212
316,rec-175-dup-4, joshua, van wijk, 10, captaincop rcrtscent, , bassendean, 6153, vic, 19240705, , ,8350507,8,rec-175
317,rec-154-dup-6, georfue, nicklnason, 6, wonga stfeet, , penrith, 5713, vic, 19990234, , 02 74358680,9036710,6,rec-154
318,rec-205-dup-2, alessancria, jolly, 38, lincoln close, parkside flats, westmead, 4710, nsw, 19100820, 19, 02 40776336,2533902,1,rec-205
320,rec-457-dup-2, molly, cawkwell, 11, wilkinsoon street, , ermintqon, 5913, nsw, 19925003, 36, 08 62879508,6885937,7,rec-457
323,rec-597-dup-4, arabrkza, ohea, 9, harbison xrescent, lyndale park, sprinrgwood, 2130, , , 27, 02 04435163,6522315,3,rec-597
324,rec-164-dup-0, heabter, white, 35, marou place, , thornannds, , act, 19350703, 12, 04 65126437,5784980,4,rec-164
326,rec-358-dup-4, yasxkn, harrington, 20, dobie place, , auburn, 3113, vic, 19826030, 32, 08 59431003,7701544,2,rec-358
330,rec-342-dup-0, cooper, campbell, 101, sanderson close, , alice springs, 3504, wu, 19091023, 34, 08 12180976,7976258,1,rec-342
332,rec-212-dup-1, ethan, chaddlp, 19, vagabond frescent, masonic retirement village, winstonx hill, 5092, qld, 19610327, 46, 04 30176867,3973566,5,rec-212
334,rec-482-dup-3, lachlan, bristow, 33, mclachlan crescent, , wolumka, 4226, , 19479002, , 02 36923668,9965900,1,rec-482
337,rec-249-dup-1, caoeh, calliloer, 20, leibnitz place, , cranbourne, 3810, vic, 19670519, , 08 33603175,8240850,1,rec-249
338,rec-536-dup-3, imogen, kalkr, 102, thozet qlyace, nordale farm, metg, 2086, qld, 19391111, 32, 07 83460070,9001200,4,rec-536
339,rec-7-dup-0, callum, herbert, 137, ferrisatfeet, , oranve, , nsw, 19608301, 26, 03 16393565,9274373,4,rec-7
340,rec-102-dup-7, ma rk, hanra, 7, cumberlegmetcrescent, , elanor hdights, 2289, vic, 19961014, 23, 08 48634431,4808741,3,rec-102
342,rec-154-dup-8, georgia, nicklason, 4, wonga street, craigview grove, penrbiyh, 5231, , 19990120, 21, 02 74358680,9036710,6,rec-154
343,rec-92-dup-5, jack, crosswql, 7, eddy crescent, , cond r, 3057, nsw, 19010620, 20, 03 57557922,6313658,0,rec-92
344,rec-113-dup-0, ashton, bloomfield, 25, macrossan crescent, , moe, 6060, o, , 43, ,6884782,1,rec-113
346,rec-387-dup-0, sean, mileww, 30, aaronace, , kingsfodr, 3030, qldf, 19481227, 33, 08 24447390,1320495,3,rec-387
348,rec-375-dup-7, lucas, ryaa, 53, dunbar jrireet, , canterbury, 3175, , 19860226, 30, 08 02770634,1954850,2,rec-375
349,rec-113-dup-3, ashtno, bloomfield, 24, macrossan crescent, , moe, 6060, wa, 19471312, 32, 02 27489334,6884782,1,rec-113
350,rec-320-dup-1, harrison, wardle, 36, letters street, , bligh park, 2704, ns, 19150204, 28, 03 71214121,2126591,9,rec-320
354,rec-209-dup-4, chloz, gilkazd, 225, bonython street, , greenvs bach, 2642, tas, 20130903, 37, 04 77520775,3309830,8,rec-209
355,rec-272-dup-3, gracd, jool, 749, sid barned crescent, , hoppers crossing, 4170, wr, 19550416, 39, 03 25528048,9647959,1,rec-272
356,rec-414-dup-5, reij, ryan, 9, hovell street, , brighehton, 6153, qld, 19920126, 37, 07 55180127,6647728,4,rec-414
360,rec-504-dup-4, zof, mccaryhy, 25, zox circuit, jeran, kirsan, 6233, vic, 19121006, , 03 89690593,2642249,5,rec-504
366,rec-536-dup-7, imogen, kalpqa, 182, mckinlaykstreet, , metung, 2059, qld, 20040521, 32, 07 83460070,9001600,4,rec-536
367,rec-28-dup-0, charles, baigl, 2, dalley cfehsmcent, , matofo, 4748, sa, 19358010, , 02 31818365,4438422,8,rec-28
368,rec-174-dup-1, benjami, , 12, ranken place, marathon mews, rowvile, 4815, wa, , , 08 67380769,6070431,2,rec-174
370,rec-285-dup-1, jesse, coulsom, 4, everard street, , broadmeafows, 3219, vif, 19660103, , 08 94730119,8331677,1,rec-285
371,rec-53-dup-1, matthew, , 73, paul coeaceescent, palm lake resort, orbost, 4570, nsw, 19691114, 22, ,8549176,7,rec-53
372,rec-371-dup-5, robynn, webb, 84, darling street, , kardinya, 6156, vic, 19834909, 30, 02 43570657,9676049,6,rec-371
373,rec-272-dup-0, jakc, jofky, 749, sid barnes drescent, , hoppers crsosing, 4107, wa, 19565416, 39, 03 25528048,1001475,1,rec-272
375,rec-100-dup-6, olly, campbell, 35, nicholson crescent, triton units, airville, 5036, nsw, 19091228, 34, 03 88201389,5586772,5,rec-100
379,rec-43-dup-0, eliza, camp, 92, westonttwreet, kimberoey, williamsgown, 2327, vic, 19660730, 37, 08 15405030,3456692,1,rec-43
380,rec-287-dup-0, james, bresho, 87, brake place, , parramatta, 0870, sa, 19138011, 30, 02 40174062,7652231,8,rec-287
383,rec-177-dup-3, , whiet, 9, , , macquarie fields, 3636, nsw, 19929814, 31, 08 86181836,3035176,2,rec-177
388,rec-414-dup-2, ryan, reid, 6, hovellsrremt, parish og wyndham, brighton, 6153, qld, , , 07 55180127,6647722,4,rec-414
391,rec-154-dup-7, nicklaw on, georia, 9, wonga street, , penrith, 5213, vic, 19990120, 28, 02 74258380,9036710,6,rec-154
392,rec-321-dup-0, silas, secoemb, 2, archibalfistreet, granite hill, blacknags bay, 2046, nsw, 19395206, 22, 07 74191355,5821876,4,rec-321
393,rec-375-dup-6, lucai, ryan, , dunbar seeet, , cantetbury, 3163, , 19860746, 30, 08 02770634,1954850,2,rec-375
397,rec-536-dup-5, imogen, kalka, 128, thozet place, , metung, 2069, qld, , 32, 07 83562870,9010900,4,rec-536
398,rec-369-dup-2, benjlnin, quilty, 4, blacket street, , cranbourne, 2318, nsw, 19730565, 28, 03 85124438,5578050,3,rec-369
400,rec-249-dup-2, caleh, callostuer, 9, leibnitzrplace, , cranbourne, 3802, , 19670519, , 08 33603175,8240850,1,rec-249
402,rec-49-dup-1, caleb, hantke, 108, mainwaring rich circuit, , bilgolaplateau, 2023, nss, , , 02 97620549,1479514,8,rec-49
404,rec-358-dup-2, yasmin, harrinfton, 58, dobie kilace, st francis vlge, aubuemnb, 3113, vi, 19823604, 32, 08 59431003,7701544,2,rec-358
412,rec-256-dup-2, zacha y, patrson, 15, villa 2, wagga street, maryborough, 3042, sa, 19610208, , ,3861876,0,rec-256
414,rec-504-dup-1, zoe, mccarthy, 22, zox cfciut, , kirvan, 6233, vic, 19112306, , 03 89623093,2642239,5,rec-504
418,rec-102-dup-0, mark, haar, 8, cumberlege rescent, , elanor heights, 2289, vivf, , 28, 08 48634431,4808741,3,rec-102
419,rec-253-dup-1, jaxm, begep, 1, hale place, quadrega, crookwell, 2717, , 19200114, 31, 04 09763075,2581259,2,rec-253
420,rec-532-dup-0, ku, mcgregor, 83, willoughby dlescent, umina park, ballarat, 2460, , 19881219, , 03 97467665,3323064,1,rec-532
423,rec-536-dup-1, imogen, kalki, 128, thozelxtace, aprtmnt 55, metmung, 2059, qld, 19391111, 32, 07 83460070,9001600,4,rec-536
427,rec-356-dup-0, melizsa, gren, 51, calder crescent, villax g9, denmark, 5464, vig, 19724098, 33, 08 28570478,2179341,4,rec-356
428,rec-100-dup-1, olivia, coleman, 35, nicholson crescent, , airvlle, 5063, vic, 19429025, 28, ,5818107,5,rec-100
431,rec-314-dup-0, ellm, gaskin, 4, carnegic oldscent, hamilton central, dulwich hill, 2298, sa, 19810327, 31, 04 51982000,1952975,2,rec-314
432,rec-302-dup-0, rsoa, campybemll, 239, crichton crescent, , werrington, 2478, wa, 20180610, , 08 05842110,6297900,9,rec-302
435,rec-173-dup-0, lucws, jongbled, 320, , learning earth farm, hughe, 4012, vic, 19000820, 32, 08 58087427,3454407,9,rec-173
438,rec-20-dup-3, emiily, beaytie, 91, follett sereet, , kangaroo flat, 4207, nsw, 19914013, , 03 09974554,9706883,8,rec-20
440,rec-358-dup-0, yasmun, harrington, 58, dobie ilace, , auburn, 3113, vic, 19801204, , 08 59431003,7701544,2,rec-358
441,rec-369-dup-0, benjamin, quilwh, 68, blacket street, , cranbhurne, 2319, nsw, 19735065, 81, 03 85124438,5578050,3,rec-369
442,rec-232-dup-0, tuscany, fittock, 23, bussaa cgose, , alubry, 4280, , , 25, 02 98177484,4331257,4,rec-232
447,rec-102-dup-2, mark, hazr, 17, cumberlege crescent, old alliway farm, elanor hedights, 2289, vic, 19961024, 23, 08 48634431,4808341,3,rec-102
450,rec-320-dup-4, harrison, wardlr, 36, letters street, , 274h9, bligh park, nss, 19159602, 28, 03 71741121,2126591,9,rec-320
452,rec-236-dup-7, moniwue, nobl, 89, dinnison circuit, , 4212, westlak es, qld, 19950829, , 07 40944177,5191624,0,rec-236
453,rec-464-dup-2, bkadk, beattie, 387, goddard crescent, station homestead, montmorency, 2487, vic, 19800648, , 03 63230241,2183443,8,rec-464
456,rec-375-dup-1, lucas, ryan, 3, dunbar freet, west road, cantebury, 3165, vicb, , 30, 08 02770634,1954850,2,rec-375
458,rec-313-dup-3, saran, whie, , namatjira drive, , hoppers cgryssing, 1657, vico, , 28, 04 90786196,9154133,4,rec-313
460,rec-547-dup-1, saraah, herolk, 210, catchpole street, , bellevue hill, 2540, nsw, 19580124, 23, 07 35616782,9267912,8,rec-547
461,rec-389-dup-0, zagne, vimpsmh, 18, mccormack street, , thovrlie, 4753, sd, 19910419, 28, 08 41051418,4890442,8,rec-389
464,rec-177-dup-0, dyln, whigd, 8, hawkesbury arescent, , macquarie fields, 3636, nsw, 19902484, 31, 08 86181836,3035716,2,rec-177
465,rec-515-dup-5, elizabeth, motbeby, 1798, crozier hicuit, , allawah, 2259, , 19590113, 30, 07 90638201,7555771,6,rec-515
467,rec-380-dup-2, jesslxa, rundle, 166, cowpepsrreet, , boulder, 4210, tas, 19152981, 34, 04 20578372,5249044,1,rec-380
471,rec-508-dup-0, kyah, chanfler, 28, pambula street, , shelh, 3023, nq, 19231016, , 04 77309938,8061827,7,rec-508
474,rec-476-dup-3, hayely, mcnicglll, 50, bootle place, brampton, new varm, 2663, wa, 20170428, 01, 02 18351865,8297152,6,rec-476
476,rec-205-dup-1, alessatgria, jolc, 171, lincoln close, , westmead, 4701, nsw, 19104280, 19, 02 40763436,2530392,1,rec-205
482,rec-580-dup-0, izaac, tratehn, 10, bengee place, bulala, jamestown, 2572, sa, , 37, 02 32603403,6401542,8,rec-580
483,rec-22-dup-0, jod, mcgrwgic, 4, tennant street, , kaleen, 2101, , 19890211, 31, 08 84259458,7061939,7,rec-22
484,rec-272-dup-4, grace, joll, 749, sid barnes crescent, mermaid plaza dental centre (cnr gold co, hoppers crossing, 4160, wa, 19559361, 39, 03 25528048,1003475,1,rec-272
